epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,335.014,0.93781,1.22068,0.80723,0.99013,0.99766,0.95833,0.95636,0.78502,0.99766,0.95833,0.95636,0.73702,0.76859,0.8014,0.57992,0.8443,0.0013268,0.0013268,0.0013268
70,339.722,0.85188,0.974,0.74387,1.00482,0.98571,0.95826,0.95586,0.81507,0.98571,0.95826,0.95586,0.75476,0.69738,0.75247,0.56171,0.81936,0.0013169,0.0013169,0.0013169
71,344.243,0.89245,1.22132,0.77024,0.97043,0.98355,0.94444,0.94652,0.83157,0.98355,0.94444,0.94652,0.75852,0.63619,0.75314,0.59266,0.78532,0.001307,0.001307,0.001307
72,348.698,0.84977,1.19231,0.75417,0.97423,0.94307,0.92042,0.94975,0.78018,0.94307,0.92042,0.94992,0.71365,0.75398,0.83869,0.70761,0.80643,0.0012971,0.0012971,0.0012971
73,353.28,0.84972,1.04429,0.71543,0.9698,0.95419,0.93056,0.95158,0.78095,0.95419,0.93056,0.95254,0.71787,0.78598,0.84344,0.73683,0.8193,0.0012872,0.0012872,0.0012872
74,357.865,0.74378,0.97362,0.6415,0.94703,0.98539,0.93691,0.95108,0.79038,0.98539,0.93691,0.95291,0.7332,0.711,0.79454,0.72607,0.80939,0.0012773,0.0012773,0.0012773
75,362.435,0.83386,1.0838,0.71109,0.97041,0.98526,0.92852,0.94952,0.78926,0.98526,0.92852,0.94952,0.72756,0.67875,0.79839,0.79067,0.81507,0.0012674,0.0012674,0.0012674
76,367.01,0.77186,1.14149,0.6931,0.93666,0.93137,0.94444,0.94958,0.77042,0.94518,0.95833,0.95332,0.7217,0.7798,0.77909,0.9091,0.82289,0.0012575,0.0012575,0.0012575
77,371.64,0.79696,1.01314,0.67152,0.9562,0.92647,0.93056,0.94361,0.7755,0.94085,0.94444,0.95147,0.73994,0.76473,0.7452,1.01095,0.83216,0.0012476,0.0012476,0.0012476
78,376.102,0.80931,1.09724,0.74663,0.97818,0.84666,0.93056,0.91924,0.73518,0.85929,0.94444,0.92968,0.70355,0.90992,0.76367,1.13016,0.90414,0.0012377,0.0012377,0.0012377
79,380.514,0.81774,1.07824,0.77881,0.97627,0.91154,0.88889,0.93642,0.74089,0.92579,0.90278,0.94697,0.73454,0.88107,0.75523,0.99452,0.87475,0.0012278,0.0012278,0.0012278
80,385.072,0.8464,1.05716,0.74656,0.96527,0.97133,0.94122,0.96596,0.78415,0.98566,0.95495,0.96754,0.77246,0.6821,0.68035,0.65034,0.78824,0.0012179,0.0012179,0.0012179
81,389.606,0.88435,1.34852,0.78278,0.99356,0.95655,0.94444,0.96041,0.80041,0.97062,0.95833,0.96214,0.77469,0.64055,0.63952,0.65019,0.78804,0.001208,0.001208,0.001208
82,394.155,0.81017,0.9849,0.74281,1.01472,0.96679,0.95833,0.96096,0.79874,0.96679,0.95833,0.96096,0.75638,0.63354,0.63328,0.62997,0.79035,0.0011981,0.0011981,0.0011981
83,398.852,0.85778,1.18024,0.78333,0.9864,0.96258,0.95833,0.96188,0.79814,0.96258,0.95833,0.96188,0.76587,0.6241,0.64297,0.60165,0.78732,0.0011882,0.0011882,0.0011882
84,403.529,0.85668,1.1485,0.77052,0.9618,0.99151,0.94444,0.96425,0.79076,0.99151,0.94444,0.96077,0.75876,0.70191,0.71592,0.62877,0.81591,0.0011783,0.0011783,0.0011783
85,408.427,0.83455,0.96679,0.72402,0.96501,0.98538,0.93609,0.96287,0.81371,0.98538,0.93609,0.96287,0.76428,0.6461,0.66707,0.62839,0.79612,0.0011684,0.0011684,0.0011684
86,413.134,0.73913,0.94761,0.65098,0.92784,0.95781,0.94604,0.96061,0.81404,0.95781,0.94604,0.96061,0.76937,0.63501,0.64003,0.62587,0.78411,0.0011585,0.0011585,0.0011585
87,417.593,0.76811,0.97394,0.65265,0.96071,0.91907,0.94641,0.95819,0.81201,0.91907,0.94641,0.95819,0.77466,0.62931,0.67937,0.62674,0.78135,0.0011486,0.0011486,0.0011486
88,422.15,0.80399,1.11602,0.70326,0.95219,0.9417,0.95833,0.95896,0.83838,0.9417,0.95833,0.95896,0.78579,0.55443,0.65431,0.59761,0.7557,0.0011387,0.0011387,0.0011387
89,426.504,0.75269,1.01276,0.63074,0.93486,0.97199,0.94444,0.96164,0.83349,0.97199,0.94444,0.96164,0.78557,0.54564,0.6522,0.57965,0.75357,0.0011288,0.0011288,0.0011288
90,430.96,0.80886,1.12919,0.66604,0.9585,0.98562,0.95206,0.96644,0.83978,0.98562,0.95206,0.96644,0.76887,0.57644,0.68774,0.5608,0.7613,0.0011189,0.0011189,0.0011189
91,435.515,0.75511,0.98313,0.64548,0.95599,0.98442,0.95833,0.96973,0.84427,0.98442,0.95833,0.96973,0.77689,0.5836,0.66103,0.51991,0.75885,0.001109,0.001109,0.001109
92,440.402,0.70949,0.92202,0.60141,0.91888,0.99834,0.95833,0.97197,0.88375,0.99834,0.95833,0.97197,0.8118,0.49694,0.62522,0.45158,0.73246,0.0010991,0.0010991,0.0010991
93,445.479,0.71588,0.89184,0.63211,0.91586,0.99823,0.95833,0.97198,0.86645,0.99823,0.95833,0.97198,0.80979,0.48476,0.62136,0.45039,0.72448,0.0010892,0.0010892,0.0010892
94,450.248,0.75986,0.99698,0.6185,0.91553,0.99837,0.95833,0.97198,0.84531,0.99837,0.95833,0.97198,0.80387,0.51906,0.62836,0.45457,0.73964,0.0010793,0.0010793,0.0010793
